tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,Fantasy,War,Musical,Action,Horror,Mystery,Comedy,Drama,Game-Show,Biography,Documentary,Family,Short,Animation,Talk-Show,Thriller,Adult,Sci-Fi,History,Reality-TV,Adventure,Sport,Romance,News,Music,Crime,Western,isOriginalTitle,storylines,keywords,languages
tt0086659,'Allo 'Allo!,'Allo 'Allo!,1982,1992,45,"Comedy,History,War",8.3,22672,"nm0188462,nm0219513,nm0387599,nm0090877,nm0067621,nm0139841,nm0519476,nm0827107","nm0188462,nm0516027,nm0010570,nm0152416,nm0156254,nm0203349,nm0938132",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"René Artois runs a small café in France during World War II. He always seems to have his hands full: He's having affairs with most of his waitresses, he's keeping his wife happy, he's trying to please the German soldiers who frequent his café, and he's running a major underground operation for the Resistance. Quite often, the Germans' incompetence itself is what nearly lands René and his cohorts in hot water; they are not helped either by the locals, who are dreadfully keen to get rid of the Germans, but their blatant and theatrical attempts at espionage and secrecy often create problems that René must solve quickly.","accent, nazi, satire, serial, slapstick comedy",English
tt3148266,12 Monkeys,12 Monkeys,2015,2018,42,"Adventure,Drama,Mystery",7.7,37776,"nm0066218,nm0952352,nm1160495,nm0867127,nm0779830,nm0133773,nm0718001,nm6501824,nm0284308,nm0330140,nm0101741,nm0000824,nm0994553,nm0367538,nm0338726,nm0011876,nm0021772,nm0915400,nm0994368,nm0558052,nm0343622,nm0247123","nm3029174,nm0558052,nm0672459,nm0672466,nm1995338,nm1406699,nm5777681,nm9027536,nm4808201,nm2093184,nm0003408,nm1771603,nm0730446,nm2625327,nm0149661,nm1179937,nm0839943,nm0254660,nm9123769",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"In the year 2043, scavenger James Cole (Aaron Stanford) has been recruited by a team of ""Project Splinter"" scientists led by physicist Katarina Jones (Barbara Sukowa), to travel back in time to the year 2015, and stop the release of a deadly virus by the enigmatic organization known as the ""Army of the 12 Monkeys"". In Cole's original time-line, the virus caused a plague that resulted in the death of seven billion humans in the year 2017, and its on-going mutations will mean the eventual end of the human race. In the 2015 time-line, Cole will meet and enlist the help of brilliant virologist Dr. Cassandra ""Cassie"" Railly (Amanda Schull); the two are brought together because a recording mentioning Cole, that Cassie made after the viral outbreak, is uncovered by Jones in the future time-line, prompting her to select Cole for the mission. Cole will also encounter a seemingly unstable math genius named Jennifer Goines (Emily Hampshire), whose father Cole has been tasked to kill, Cassie's ...","mission, plague, epidemic, paradox, virus",USA
tt1837492,13 Reasons Why,13 Reasons Why,2017,,60,"Drama,Mystery",7.8,233018,"nm0002083,nm1549343,nm0400486,nm1312731,nm0470971,nm0597673,nm2151374,nm0133773,nm0001726,nm0565336,nm0235852,nm2385621,nm0000777,nm1547859,nm0950506","nm4311145,nm5039329,nm9507493,nm5715980,nm9242487,nm2888280,nm3489958,nm2125164,nm4212091,nm2996954,nm0071299,nm1788547,nm3643006,nm6781848,nm2256631,nm4529789,nm6471561,nm4466705",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Thirteen Reasons Why, based on the best-selling books by Jay Asher, follows teenager Clay Jensen (Dylan Minnette) as he returns home from school to find a mysterious box with his name on it lying on his porch. Inside he discovers a group of cassette tapes recorded by Hannah Baker (Katherine Langford) -his classmate and crush-who tragically committed suicide two weeks earlier. On tape, Hannah unfolds an emotional audio diary, detailing the thirteen reasons why she decided to end her life. Through Hannah and Clay's dual narratives, Thirteen Reasons Why weaves an intricate and heartrending story of confusion and desperation that will deeply affect viewers.","suicide, based on novel, depression, voice over narration, death of a loved one",USA
tt1845307,2 Broke Girls,2 Broke Girls,2011,2017,22,Comedy,6.7,87215,"nm0913637,nm0726642,nm0723597,nm0920950,nm0827868,nm0287198,nm0455078,nm0615063,nm0507629,nm0567912,nm0769135,nm1240648,nm0958449,nm0000625,nm1763781,nm0123273,nm0255081,nm3281276,nm0926526,nm2371802,nm0618871,nm1455688,nm0697014,nm0755965,nm0258128,nm0005601,nm0870699","nm1579753,nm0455078,nm4542731,nm7006445,nm0618871,nm2768137,nm0040139,nm0271078,nm1646177,nm3993751,nm2768206,nm0545641,nm1464243,nm1465526,nm0323068,nm0513973,nm0716557,nm1703718,nm3566752,nm2407104,nm1068488,nm0539719,nm0452716,nm1138106,nm0842295,nm0276621,nm0453022,nm0746573,nm8816773",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Sassy, streetwise Max works two jobs just to get by, one of which is waiting tables during the night shift at the retro-hip Williamsburg Diner. Sophisticated Caroline is an uptown trust fund princess who's having a run of bad luck that forces her to reluctantly give waitressing a shot. At first, Max sees Caroline as yet another in a long line of inept servers she must cover for, but she's surprised to find that Caroline has as much substance as she does style. When Caroline discovers Max's knack for baking amazing cupcakes, she sees a lucrative future for them, but they first need to raise the start-up money.","adult humor, new york city, diner, cupcake, rich poor",USA
tt0092312,21 Jump Street,21 Jump Street,1987,1991,60,"Crime,Drama,Mystery",7.2,10254,"nm0817878,nm0877427,nm0269899,nm0564260,nm0551106,nm0003733,nm0791045,nm0410769,nm0935727,nm0005522,nm0543129,nm0002573,nm0927296,nm0066548,nm0101385,nm0217938,nm0926215,nm0041710,nm0599624,nm0003163,nm0002413,nm0103523,nm0733227,nm0905237,nm0638354,nm0253531,nm0176448,nm0452129,nm0931736,nm0789834,nm0393661,nm0197819","nm0004798,nm0367895,nm0604688,nm0939128,nm0638258,nm0038933,nm0132319,nm0086826,nm0501380,nm0076602,nm0820692,nm0991399,nm0322106,nm1155501,nm0236494,nm0053426,nm0053449,nm0231929,nm0002651,nm0826627,nm0456918,nm0506032,nm0617153,nm0991386,nm0675327,nm0991227,nm0002413,nm0009145,nm0008953,nm0989001,nm0228950,nm0295047,nm2739653,nm0312663,nm0422434,nm0568416,nm4140887,nm0043754,nm3626694,nm0636791,nm0782277,nm0990391,nm0991350",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,"21 Jump Street is the headquarters for a squad of police officers who specialize in investigations relating to young people. Each of the Jump St. personnel was selected for their ability to pass for high school or college students, allowing them to operate undercover in areas where it is difficult for regular police officers to blend in unnoticed.","youth culture, police officer, police captain, policewoman, female cop",English
tt0285331,24,24,2001,2010,44,"Action,Crime,Drama",8.3,166233,"nm0445631,nm0818465,nm0394280,nm0459425,nm0406220,nm0393661,nm0788610,nm0877427,nm0143984,nm0153552,nm0388182,nm0320987,nm0463926,nm1879589,nm0926215,nm0346550,nm0156838,nm0514546,nm0870306","nm0168206,nm0839695,nm0330258,nm1811187,nm0516623,nm0441707,nm1090637,nm0182873,nm0299236,nm0103804,nm0472190,nm0423715,nm0304536,nm0361927,nm0218430,nm1125049,nm0335411,nm0599924,nm0006997,nm0403477,nm0155961,nm1212043,nm0251395,nm0182871,nm0041469,nm1285688,nm0381127,nm0169649,nm1093194,nm0593749,nm0887978,nm1469826,nm3216711,nm1850362",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,"In this concept drama, each season takes place within one 24 hour period. Day 1: Jack Bauer is the head of field ops for an elite team of CTU agents who uncover an assassination plot targeting Presidential nominee David Palmer. Meanwhile, Jack's strained marriage to his wife, Teri, is pushed to the brink by the sudden disappearance of their troubled teenage daughter. What will the next 24 hours hold?","terrorist, counter terrorist, bomb, 24 hours, terrorist plot",English
tt5345490,24: Legacy,24: Legacy,2016,2017,41,"Action,Crime,Drama",6.2,9600,"nm0748066,nm0143984,nm0400486,nm0394280,nm1879589","nm0168206,nm0182873,nm0441707,nm0839695,nm4998426,nm4532532,nm0330258,nm0413407,nm0299236,nm2467614,nm0059735,nm3639509",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,"After leading a mission to eliminate terrorist leader Ibrahim Bin-Khalid, Eric Carter returns to the U.S. and finds out that he and his squad mates are targeted for assassination in retaliation for Bin-Khalid's death. With nowhere else to turn, Carter asks CTU to help him save his life while also stopping one of the largest-scale terror attacks on American soil.","mediocrity, shared universe",English
tt4922804,3%,3%,2016,,49,"Action,Drama,Sci-Fi",7.4,18834,"nm2944272,nm3120984,nm4746526,nm0054005,nm0153263","nm4747123,nm3120962,nm3238584,nm9877632,nm4266178,nm2193400,nm4604390,nm2944272,nm2943779,nm6302956,nm5468474,nm7766986",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,A world divided into progress and devastation. The link between the two sides - Offshore and Inland - is a rigorous and painstaking system called The Process. Everyone in Inland has a chance to go through The Process to live a better life in Offshore. But only 3% make it through.,"dystopia, poverty, titlle spoken by character, puzzle, dystopic future",Brazil
tt0496424,30 Rock,30 Rock,2006,2013,22,Comedy,8.2,107437,"nm0769135,nm0184873,nm0205502,nm0565063,nm0579318,nm0926526,nm0255081,nm0002728,nm0082450,nm0330140,nm0791672,nm0838198,nm0000114,nm0538744,nm1061622,nm0726642,nm0792178,nm0806252,nm0257554,nm0791381,nm0110644,nm0002835,nm0390844,nm0962378,nm0541562","nm0275486,nm0134224,nm1127337,nm1061622,nm2255973,nm0120994,nm1863572,nm0918272,nm0726642,nm2236770,nm1010032,nm0796875,nm2133058,nm1014574,nm1472469,nm0046329,nm0277880,nm0689390,nm3066398,nm0996134,nm2337847,nm4988577,nm1269432,nm2253976,nm2314834,nm1259707,nm2868110,nm4137632,nm3265847",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Elizabeth ""Liz"" Lemon (Tina Fey) is the executive show runner for a late night sketch comedy show called ""The Girlie Show"", that stars her close friend and major drama queen Jenna Maroney (Jane Krakowski). When GE hires a new Executive Vice President for NBC named Jack Donaghy (Alec Baldwin), he decides to take Liz Lemon under his wing and turn around TGS, which for years has been unable to find the proper audience it deserves. So to do so, he brings on unhinged, wildly unpredictable star Tracy Jordan (Tracy Morgan) to turn the series into a ratings hit. But Liz soon finds out that controlling her oddball writing staff, the NBC page program, keeping Tracy on a short leash, and getting him to get along with Jenna proves to be one disaster after another. Will TGS ever see true success? And will Liz find the right partner to get married and start a family?","writing, workplace, employer employee relationship, television writer, television network",USA
tt2197797,666 Park Avenue,666 Park Avenue,2012,2013,60,"Drama,Fantasy,Mystery",6.9,16997,"nm0000536,nm0067090,nm0185734,nm0336241,nm0509183,nm0864936,nm0924693,nm0952352,nm0534850,nm0592808,nm0855613","nm4867599,nm1243918,nm0265557,nm0413407,nm2998901,nm1175237,nm1175413,nm1344603,nm0588936,nm0665322,nm1773678,nm0845860,nm0029646,nm2837292",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"If you could make one wish, what would it be? And what would you do to get it? At 666 Park Avenue, all of your dreams and burning desires can come true: wealth, sex, love, power, even revenge. But just be careful what you wish for, because the price you pay...could be your soul. Welcome to The Drake, the premiere apartment building on Manhattan's Upper East Side. Owned by the mysterious Gavin Doran (Terry O'Quinn) and his sexy wife Olivia (Vanessa Williams), The Drake is home to dozens of residents who are unaware they're living in the dark embrace of supernatural forces. They think their dreams are all coming true, only to find they've been lured into making, what feels like, a deal with the Devil. When a young Mid-western couple - Jane Van Veen (Rachael Taylor) and Henry Martin (Dave Annable) - is hired to manage The Drake, they soon discover that evil, obsession, and manipulation has a home.","peeping tom, cheating wife, voyeur, seduction, jealousy",USA
